pub_date	title	venue	excerpt	citation	url_slug	paper_url
2023/1/1	Cattle body detection based on YOLOv5-ASFF for precision livestock farming	This paper is about the number 1. The number 2 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(1)."	Y Qiao, M Truman, S Sukkarieh Computers and Electronics in Agriculture 165, 104958		https://www.sciencedirect.com/science/article/pii/S0168169922008870?via%3Dihub
2022/1/20	Automated aerial animal detection when spatial resolution conditions are varied	This paper is about the number 1. The number 3 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(2)."	Jasper Brown, Yongliang Qiao, Khalid Rafique and Salah Sukkarieh, Computers and Electronics in Agriculture. (2022): 10689. (IF 5.565)		https://www.sciencedirect.com/science/article/abs/pii/S0168169922000060
2022/1/6	C3D-ConvLSTM based cow behaviour classification using video data for precision livestock farming	This paper is about the number 1. The number 4 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(3)."	Y Qiao, Y Guo, K Yu, D He Computers and Electronics in Agriculture 193, 106650		https://www.sciencedirect.com/science/article/pii/S0168169921006670
2022/9/30	An Improved Lightweight Network for Real-Time Detection of Apple Leaf Diseases in Natural Scenes	This paper is about the number 1. The number 5 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(4)."	Liu S, Qiao Y, Li J, Zhang H, Zhang M, Wang M.?Agronomy. 2022; 12(10):2363.?		https://www.mdpi.com/2073-4395/12/10/2363
2022/8/30	The Research Progress of Vision-Based Artificial Intelligence in Smart Pig Farming	This paper is about the number 1. The number 6 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(5)."	S Wang, H Jiang, Y Qiao, S Jiang, H Lin, Q Sun Sensors 22 (17), 6541		https://www.mdpi.com/1424-8220/22/17/6541
2022/2/23	One-Shot Learning with Pseudo-Labeling for Cattle Video Segmentation in Smart Livestock Farming	This paper is about the number 1. The number 7 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(6)."	Y Qiao, T Xue, H Kong, C Clark, S Lomax, K Rafique, S Sukkarieh Animals 12 (5), 558		https://doi.org/10.3390/ani12050558
2021/9/21	Data augmentation for deep learning based semantic segmentation and crop-weed classification in agricultural robotics	This paper is about the number 1. The number 9 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(8)."	D Su, H Kong, Y Qiao, S Sukkarieh Computers and Electronics in Agriculture 190, 106418		https://www.sciencedirect.com/science/article/pii/S016816992100435X
2021/10/1	One-shot Learning-based Animal Video Segmentation	This paper is about the number 1. The number 10 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(9)."	T Xue, Y Qiao, H Kong, D Su, S Pan, K Rafique, S Sukkarieh IEEE Transactions on Industrial Informatics 18 (6), 3799-3807		https://ieeexplore.ieee.org/abstract/document/9556571
2021/4/13	Tobacco disease identification based on InceptionV3	This paper is about the number 1. The number 11 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(10)."	Z Wenjing, SUN Xiupeng, Q Yongliang, BAI Peng, J Honghua, W Yujun, ... Acta Tabacaria Sinica 27 (5), 61-70		https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKibYlV5Vjs7iy_Rpms2pqwbFRRUtoUImHZynAqm9VB9qle8qGpuDLmy5_lvhANaeueGmBa_IomFo&uniplatform=NZKPT
2021/10/22	Intelligent Perception-Based Cattle Lameness Detection and Behaviour Recognition	This paper is about the number 1. The number 12 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(11)."	Y Qiao, H Kong, C Clark, S Lomax, D Su, S Eiffert, S Sukkarieh Animals 11 (11), 3033		https://doi.org/10.3390/ani11113033
2021/4/30	Intelligent perception for cattle monitoring_ A review for cattle identification, body condition score evaluation, and weight estimation	This paper is about the number 1. The number 13 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(12)."	Y Qiao, H Kong, C Clark, S Lomax, D Su, S Eiffert, S Sukkarieh Computers and Electronics in Agriculture 185, 106143		https://www.sciencedirect.com/science/article/pii/S0168169921001617
2021/2/6	Real time detection of inter-row ryegrass in wheat farms using deep learning	This paper is about the number 1. The number 14 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(13)."	D Su, Y Qiao, H Kong, S Sukkarieh Biosystems Engineering 204, 198-211		https://doi.org/10.1016/j.biosystemseng.2021.01.019
2020/10/8	BiLSTM-based Individual Cattle Identification for Automated Precision Livestock Farming	This paper is about the number 1. The number 15 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(14)."	Daobilige Su, Yongliang Qiao (Corresponding), He Kong and Salah Sukkarieh, Biosystems Engineering. 2020. (IF 5.07)		http://www.scopus.com/inward/record.url?eid=2-s2.0-85094108275&partnerID=MN8TOARS
2020/12/8	Data Augmentation for Deep Learning based Cattle Segmentation in Precision Livestock Farming	This paper is about the number 1. The number 16 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(15)."	Y Qiao, D Su, H Kong, S Sukkarieh, S Lomax, C Clark 2020 IEEE 16th International Conference on Automation Science and ...		http://www.scopus.com/inward/record.url?eid=2-s2.0-85094123876&partnerID=MN8TOARS
2020/7/8	Filtering for systems subject to unknown inputs without a priori initial information	This paper is about the number 1. The number 17 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(16)."	H Kong, M Shan, D Su, Y Qiao, A Al-Azzawi, S Sukkarieh Automatica 120, 109122.  (IF 5.944)		https://www.sciencedirect.com/science/article/abs/pii/S0005109820303204
2020/5/11	CNN feature based graph convolutional network for weed and crop recognition in smart farming	This paper is about the number 1. The number 18 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(17)."	H Jiang, C Zhang, Y Qiao, Z Zhang, W Zhang, C Song Computers and Electronics in Agriculture 174, 105450. (IF 5.565)		https://www.sciencedirect.com/science/article/pii/S0168169919321349
2019/12/31	Individual Cattle Identification Using a Deep Learning Based Framework	This paper is about the number 1. The number 19 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(18)."	Y Qiao, D Su, H Kong, S Sukkarieh, S Lomax, C Clark IFAC-PapersOnLine 52 (30), 318-323, 2019. (IF 1.08)		https://www.sciencedirect.com/science/article/pii/S2405896319324772
2019/3/4	Cattle segmentation and contour extraction based on Mask R-CNN for precision livestock farming	This paper is about the number 1. The number 20 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(19)."	Y Qiao, M Truman, S Sukkarieh Computers and Electronics in Agriculture 165, 104958, 2019. (IF 5.565)		https://www.sciencedirect.com/science/article/pii/S0168169919304077
2019/5/21	ConvNet and LSH-Based Visual Localization Using Localized Sequence Matching	This paper is about the number 1. The number 21 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(20)."	Y Qiao, C Cappelle, Y Ruichek, T Yang Sensors (2019): 24-39. (IF 3.576)		https://www.mdpi.com/1424-8220/19/11/2439
None	"Identification of Apple Leaf Diseases Based on Improved ResNet18 "	This paper is about the number 1. The number 22 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(21)."	Honghua Jiang, Xianghai Yang, Ruirou Ding, Dongwei Wang, Wenhua Mao, Yongliang Qiao(Corresponding), Transactions of the Chinese Society for Agricultural Machinery, 2021,52(4):239-247.		
None	Contrastive Graph Similarity Networks	This paper is about the number 1. The number 23 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(22)."	Luzhi Wang, Yizhen Zheng, Di Jin, Fuyi Li, Yongliang Qiao, Shirui Pan, ACM Transactions on the Web (2023). (IF 4.24)		
None	Maize disease detection based on spectral recovery from RGB images	This paper is about the number 1. The number 24 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(23)."	Jun Fu, Jindai Liu, Rongqiang Zhao*, Zhi Chen, Yongliang Qiao, Frontiers in Plant Science, 2022. (IF 5.753)		
None	Enhanced LiteHRNet based sheep weight estimation using RGB-D images	This paper is about the number 1. The number 25 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(24)."	Chong He, Yongliang Qiao, Rui Mao, Mei Li, Meili Wang , Computers and Electronics in Agriculture, 2023,206, 107667. (IF 5.565)		
None	An improved YOLOv5-based vegetable disease detection method	This paper is about the number 1. The number 26 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(25)."	Jiawei Li, Yongliang Qiao (co-first), Sha Liu, Jiaheng Zhang, Zhenchao Yang, Meili Wang, Computers and Electronics in Agriculture 202 (2022): 107345.		
None	An Improved Lightweight Network for Real-Time Detection of Apple Leaf Diseases in Natural Scenes	This paper is about the number 1. The number 27 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(26)."	Sha Liu, Yongliang Qiao, Jiawei Li, Haotian Zhang, Mingke Zhang, Meili Wang, Agronomy, 12(10), 2363.		
None	LettuceTrack: Detection and Tracking of lettuces for Robotic Precision Spray in Agriculture	This paper is about the number 1. The number 29 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(27)."	Nan Hu, Daobilige Su, Shuo Wang, Purevdorj Nyamsuren, Yongliang Qiao, Yu Jiang and Yu Cai, Frontiers in Plant Science, 2022. (IF 5.753)		
None	LettuceMOT: A dataset of lettuce detection and tracking with re-identification of re-occurred plants for agricultural robots	This paper is about the number 1. The number 30 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(28)."	Nan Hu, Shuo Wang, Xuechang Wang, Yu Cai, Daobilige Su, Purevdorj Nyamsuren, Yongliang Qiao, Yu Jiang, Bo Hai, Hang Wei, Frontiers in Plant Science, 2022. (IF 5.753)		
None	The Research Progress of Vision-Based Artificial Intelligence in Smart Pig Farming	This paper is about the number 1. The number 31 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(29)."	Shunli Wang, Honghua Jiang, Yongliang Qiao (Corresponding), Shuzhen Jiang, Huaiqin Lin, Qian Sun, Sensors 22.17 (2022): 6541.		
None	Editorial: AI, sensors and robotics in plant phenotyping and precision agriculture	This paper is about the number 1. The number 32 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(30)."	Yongliang Qiao, João Valente, Daobilige Su, Zhao Zhang and Dongjian He, Frontiers in Plant Science, 2022. (IF 5.753)		
None	Advances in the Applications of Deep Learning	This paper is about the number 1. The number 33 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(31)."	Yangyang Guo , Shuzeng Du , Yongliang Qiao (Corresponding), Dong Liang		
None	Technology for Livestock Smart Farming	This paper is about the number 1. The number 34 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(32)."	Smart Agriculture.2022		
None	Deep learning based cow tail detection and tracking for precision livestock farming	This paper is about the number 1. The number 35 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(33)."	Xiaoping Huang, Zelin Hu, Yongliang Qiao (Corresponding), IEEE/ASME Transactions on Mechatronics. 2022. (IF 5.303)		
None	Deep learning based automatic grape downy mildew detection for smart vineyard agriculture	This paper is about the number 1. The number 36 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(34)."	Zhao Zhang, Yongliang Qiao (Corresponding),Yangyang Guo, Dongjian He, Frontiers in Plant Science, 1585, 2022. (IF 5.753)		
